donor_id,full_name,gender,age,weight_kg,height_cm,blood_pressure,pulse_rate,latitude,longitude,bmi,hemoglobin_g_dl,medications,email,password_hash,mobile,city,blood_group,availability,months_since_first_donation,days_since_last_donation,total_donations,total_litres_donated,last_donation_date,show_rate,avg_response_time_hours,response_history,record_created
JD000011,حمزة عذرة,Male,46,74.6,172.6,114/69,73,32.567426,35.88807,25.03,15.1,None,hyanqbylp-hyl-albqwm@example.org,2d1952463fab3cb26d60f56ac8db1877292c638e728667ab5bd124b6c1ae603b,0785792726,Irbid,A+,No,0,365,0,0.0,2025-01-13,0.9,0.0,[],2026-01-13 03:46:18
JD000012,السيد مقداد بنو لام,Male,48,70.9,181.7,128/77,68,32.548996,35.821122,21.47,13.5,None,nmarmqdam@example.net,1a75c8e0e4e114b07974d8122cc7b3d1af808686e4f471e20d1f6a763e02f1f7,0795458658,Irbid,B+,No,98,56,1,0.45,2025-11-18,0.77,0.7,['responded'],2026-01-13 03:46:18
JD000013,السيد رمحي الرباب,Male,32,58.1,168.5,120/76,60,31.973973,35.853737,20.46,15.6,None,ebd-alrzaqbnw-y-sbh@example.net,4a8e919ead1ca9ac093b81f8667bf13c36203b7a17e205fb0f3ef7899a3df6c9,0782963458,Amman,A+,Yes,24,57,2,0.9,2025-11-17,0.45,2.4,"['no_response', 'no_response']",2026-01-13 03:46:18
JD000014,المهندسة أجوان الزماميري,Male,32,97.1,172.5,112/67,61,31.968999,35.947657,32.62,14.4,"Aspirin, Lisinopril",aleslyham@example.org,adafe7511069c1db9039aa16182334305f43b323a339152e93f3b69d8f64f8fc,0781720154,Amman,A+,No,34,82,1,0.45,2025-10-23,0.82,0.0,['no_response'],2026-01-13 03:46:18
JD000015,الدكتور شامل زلاطيمو,Male,25,59.9,168.7,117/73,76,31.914131,35.937027,21.05,14.6,None,alqwasmwfa@example.com,705962d147e2487f8a7597ca991b327337ee450e8b114ba9a78a4297d4de9bff,0773253053,Amman,O+,No,6,56,4,1.8,2025-11-18,0.61,3.2,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000016,ابتسام بنو حنيفة,Male,42,74.4,180.8,122/89,72,30.549124,35.859698,22.76,14.8,None,jlnar86@example.net,7ff84fce56a7d7aed2a46a1ca97aa13e1227bd0989678bba565d80394092067e,0792259755,Other,B-,Yes,0,365,0,0.0,2025-01-13,0.77,1.0,[],2026-01-13 03:46:18
JD000017,أفنان شويفاتي,Male,37,76.2,172.2,107/74,68,31.24326,36.011831,25.71,14.4,None,qlybwnwr-aldyn@example.net,5b9377fa412ec67ec053f748d5f2382d2db2f913fbccf44d6f9d361dc6693d62,0795887395,Other,B-,Yes,45,56,6,2.7,2025-11-18,0.89,5.3,"['responded', 'responded', 'responded', 'responded', 'responded', 'no_response']",2026-01-13 03:46:18
JD000018,السيدة بيسان هندية,Female,34,50.0,154.2,133/75,72,32.053616,36.027858,21.02,12.0,None,lqman80@example.com,9c83fe07af31b4ef64e29bd2112199d6fd3b07cd03d91a8d6a8b0a1b5f9e0d49,0779496424,Amman,A-,No,71,82,1,0.45,2025-10-23,0.73,9.2,['responded'],2026-01-13 03:46:18
JD000019,السيد ضيائي المظفر,Male,25,71.4,172.6,94/72,79,31.902791,35.972409,23.96,13.1,None,jlaalbdyry@example.org,21a38d852704860528bf40f9b0e79a37b2b9a7a8191a6e7c000bf8561d2abc5c,0774765200,Amman,O+,Yes,0,56,1,0.45,2025-11-18,0.62,3.2,['responded'],2026-01-13 03:46:18
JD000020,الآنسة هاجر بكر بن عبد مناة,Male,37,50.0,176.2,113/60,80,32.576065,35.784097,16.11,12.5,None,twthzyad@example.com,c0b1477881d5e4be7332514abfaf5b91473361c2c567933cb45d3c6b3e016e67,0782630223,Irbid,O+,Yes,33,293,4,1.8,2025-03-26,0.51,5.4,"['no_response', 'responded', 'no_response', 'responded']",2026-01-13 03:46:18
JD000021,الأستاذة دارين صيداني,Male,54,68.9,179.6,104/77,80,32.610537,35.823402,21.38,13.7,None,bnw-sed-bn-bkrtlal@example.com,3ac77baca48fa5fa0d9d6be185afc14c427d5f4c1070411457368b22e720c0d9,0791083684,Irbid,O+,No,91,129,4,1.8,2025-09-06,0.8,2.4,"['responded', 'no_response', 'responded', 'responded']",2026-01-13 03:46:18
JD000022,فخر الدّين بنو صخر,Male,40,97.0,176.6,123/81,87,32.098707,35.936192,31.11,15.8,Metformin,isrndh@example.net,b753cbfe60b4055bcc680b3a5d626de0b9b64195ff79eabeef1b0a04c9c4f59d,0796450403,Amman,A+,No,0,365,0,0.0,2025-01-13,0.68,9.1,[],2026-01-13 03:46:18
JD000023,رائد شرف,Male,37,70.0,165.0,129/96,79,32.113208,36.143163,25.71,13.6,None,mlhmalkbaby@example.org,8563a3b33803fa1cfb2adcebec3a125a6cdd54926c070ddb45be59b5a5d8986a,0771421350,Zarqa,B+,No,49,56,4,1.8,2025-11-18,0.45,11.5,"['no_response', 'no_response', 'responded', 'no_response']",2026-01-13 03:46:18
JD000024,عابد المغربي,Female,27,78.7,166.1,117/85,70,31.980111,35.842584,28.52,16.0,None,aleqydattyb@example.org,d8b6c89c087a9c0ccb8d5cf6d5ac0aca809278130998a3f7eac7f1f1be989e3a,0784887019,Amman,O+,Yes,2,76,2,0.9,2025-10-29,0.97,7.9,"['responded', 'responded']",2026-01-13 03:46:18
JD000025,ظاهر الدواسر,Male,33,76.3,177.2,130/76,80,32.535915,35.842214,24.29,15.2,"Atorvastatin, Lisinopril",slaf91@example.net,8f6db6123ee3d4a1f25131ffee005a5b4270c7573e10235ed0f6964dc4f58cbb,0799190562,Irbid,O-,No,27,56,3,1.35,2025-11-18,0.74,5.9,"['responded', 'no_response', 'responded']",2026-01-13 03:46:18
JD000026,السيدة كرمة بنو الأسمر,Male,29,98.3,162.3,125/67,82,32.100817,35.946538,37.33,15.1,"Aspirin, Atorvastatin",zhyr14@example.com,a5d3de2b4d1f20aa3e38aae7f03ba73151675bbd8fc54b0a3c40d17f17f98b78,0776241091,Amman,B-,No,82,90,3,1.35,2025-10-15,0.88,2.0,"['no_response', 'responded', 'no_response']",2026-01-13 03:46:18
JD000027,المهندس مُرسي نجم,Male,27,77.4,185.4,110/68,62,31.902295,35.977793,22.51,13.3,"Aspirin, Metformin",etabedwan@example.net,9b092abcb5887ff019374d992dc727813704b42d605c853ea53869ace206e8af,0771048133,Amman,O+,No,105,461,2,0.9,2024-10-09,0.93,7.1,"['responded', 'no_response']",2026-01-13 03:46:18
JD000028,شوقي بنو لام,Male,23,82.4,181.2,125/76,66,32.067034,35.889771,25.09,15.0,None,mhjealyp@example.org,919a291827c75523a8681bde8ba94761710488d729bfc7a75f55c80287e8cfab,0783962815,Amman,O+,Yes,113,309,3,1.35,2025-03-10,0.69,2.1,"['responded', 'responded', 'no_response']",2026-01-13 03:46:18
JD000029,بدرالدّجى عنزة,Male,54,93.0,167.6,117/89,72,31.204054,35.570225,33.11,14.8,None,wlad-zyanwlyd@example.com,c3b4023e788283ab2b0de997834c873ee9e4c6ad7e48baede74d5ac09a21c20a,0772962902,Other,O+,No,80,267,3,1.35,2025-04-21,0.75,2.2,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000030,واصف سبيع,Male,37,85.3,187.9,132/63,76,32.076268,35.859598,24.16,14.7,Lisinopril,nthjazy@example.com,88bbc558b062bc939d08c74e92dd1baba3dfd5eb3092692ba9f40cb050810a53,0793177739,Amman,O+,Yes,112,56,3,1.35,2025-11-18,0.91,4.5,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000031,المهندسة لوليا بنو شهر,Male,26,70.4,176.9,112/92,77,30.909614,36.274043,22.52,15.5,None,ahramebd-almhyy@example.net,c6221387eb6d90984dac13704b0ee24d6378700c55ded241d845a1265b72ba06,0798353834,Other,O-,No,84,56,2,0.9,2025-11-18,0.83,8.6,"['responded', 'responded']",2026-01-13 03:46:18
JD000032,كوثر السهول,Male,19,70.6,177.0,118/86,80,32.005507,35.897063,22.52,12.8,None,sbnw-ejl@example.com,c8078f188ce1a69bbf6921d35d3af318f1c5ea91d60e46a12bcf10fb1f5f9a12,0776871756,Amman,O+,No,117,56,1,0.45,2025-11-18,0.87,2.4,['responded'],2026-01-13 03:46:18
JD000033,المهندسة لارا بنو حنيفة,Male,24,61.0,181.9,124/79,66,31.954233,35.799387,18.42,14.1,None,yqynwyfaty@example.net,363194a2a5161f6466b199e91620a62adb3244b42495bc6c13d32d3d2debb10c,0777126630,Amman,O+,No,100,430,2,0.9,2024-11-09,0.56,2.1,"['responded', 'no_response']",2026-01-13 03:46:18
JD000034,نوّاف عاملة,Male,19,103.6,173.1,115/82,66,31.400151,35.706548,34.6,13.8,Aspirin,malbysar-alqeqwr@example.net,1a54bf87286b0a9233b5736f87cb46a65f60600ca1a547ccc597dfaef6e5d84b,0785098860,Other,O+,Yes,8,87,2,0.9,2025-10-18,0.83,0.4,"['responded', 'responded']",2026-01-13 03:46:18
JD000035,هيثم زبيد,Male,24,87.9,171.2,126/60,71,29.533327,34.963122,29.99,14.2,None,alweryrdy@example.com,b779ef6106bec8973bc1f29a82fa2c2a09743c5a6b05474f5a6242b6f1f0c888,0781721503,Aqaba,A+,No,96,94,3,1.35,2025-10-11,0.82,0.1,"['no_response', 'responded', 'responded']",2026-01-13 03:46:18
JD000036,ميار بنو الأحمر بن الحارث,Male,37,72.7,181.1,113/78,73,31.842299,35.867719,22.17,13.9,None,bnw-y-sbhnwrh@example.com,25a45831429db1dd1f856d61c7f1162336779d84f8fb11deef0d40c571853ebb,0773950816,Amman,B+,No,31,56,1,0.45,2025-11-18,0.91,1.1,['responded'],2026-01-13 03:46:18
JD000037,السيدة سلسبيل العفيفي,Male,41,72.0,174.8,133/80,69,31.955259,36.08174,23.55,12.5,None,ialws@example.net,0fc495a6b41fb9eb2afe9ff11fc8d15a3e594685028065cb2aaa2aa988d4ef30,0774151140,Amman,A+,Yes,0,365,0,0.0,2025-01-13,0.86,18.1,[],2026-01-13 03:46:18
JD000038,الدكتورة لينا مزرعاني,Male,42,84.5,178.0,118/69,83,31.933093,35.81611,26.67,14.8,None,alhjr-bn-alhnw-bn-alzdtlal@example.net,c515a62765ec6f486e72dd98b3c6543120dbbff816fd4be52c3b570e7be2a050,0793166078,Amman,O+,No,0,365,0,0.0,2025-01-13,0.79,1.0,[],2026-01-13 03:46:18
JD000039,المهندسة تالا القزاز,Male,48,60.6,173.6,120/70,65,32.520275,35.827086,20.1,13.1,None,ryehrb@example.net,e157a8316a8eb2442d83814689d9f755c8b3a4bc8226dcf617ffcc0df4d5e4a0,0797572126,Irbid,B+,Yes,43,287,4,1.8,2025-04-01,0.82,7.4,"['no_response', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000040,لتين بنو عبس,Male,32,72.9,182.2,106/89,60,32.12017,36.107589,21.96,14.5,Metformin,kafedl@example.org,c95a4ccfcb2b62d2eba07798d0d0a5cdec8040070c231f8588089a6a84e74bb0,0786335203,Zarqa,O+,No,110,222,1,0.45,2025-06-05,0.91,2.0,['responded'],2026-01-13 03:46:18
JD000041,جنى المؤقت,Male,36,65.0,159.9,118/81,63,31.853865,35.913566,25.43,16.2,"Metformin, Lisinopril",zkyp21@example.net,30e04ecff2aad8a9688c1de4612f484c2c0df06772c48f40005bce3ad30d575d,0793112413,Amman,O+,No,40,201,3,1.35,2025-06-26,0.63,3.4,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000042,ريفال الساحلي,Male,59,96.2,159.5,115/70,79,32.051008,35.876729,37.79,12.7,"Lisinopril, Aspirin",jalhkm-bn-sed-aleyrp@example.org,3427862196658d85f26e6e0f73dda202c63dfab3d660b6623fa66f56f44f6ac5,0795907502,Amman,A+,No,109,136,1,0.45,2025-08-30,0.87,4.4,['responded'],2026-01-13 03:46:18
JD000043,جنى الجاعوني,Male,41,117.3,169.8,111/77,71,31.939272,36.022439,40.66,13.4,None,pbnw-ebs@example.com,a7f52a1a7e55acca3d64c26e49b7e0792088929c7ffee84e60cf0e8f69362b89,0789110670,Amman,A-,Yes,0,365,0,0.0,2025-01-13,0.7,0.2,[],2026-01-13 03:46:18
JD000044,الدكتورة أسيل جعفر,Male,41,68.0,174.7,131/76,89,30.665915,35.680312,22.27,13.2,"Lisinopril, Aspirin",mrqdbyep@example.org,4e34a523461e06296ef1803f741a358721016c5ddd41c0a411fcc4e612cb64f9,0791779436,Other,O+,Yes,59,167,5,2.25,2025-07-30,0.85,3.8,"['responded', 'responded', 'responded', 'no_response', 'responded']",2026-01-13 03:46:18
JD000045,الدكتور خميس ميرفاب,Male,24,64.6,183.0,129/94,69,31.805983,35.945448,19.31,14.5,None,ymamalnayby@example.org,64e874482a78a32e1b9c7e6f1585b326adaa95940e5987e3d34ca84055ed3fe8,0774235791,Amman,A+,Yes,13,82,1,0.45,2025-10-23,0.84,0.8,['responded'],2026-01-13 03:46:18
JD000046,السيد حميد السيفي,Male,33,79.2,179.2,114/94,79,31.988203,36.016909,24.65,14.0,None,hknanp@example.net,e34687961b90e5c61b94c10af23aa2917aecd434e6822f8eb35e99b7bae9465e,0782479562,Amman,A-,Yes,20,56,2,0.9,2025-11-18,0.79,2.9,"['responded', 'responded']",2026-01-13 03:46:18
JD000047,السيدة ابتكار الحواش,Male,33,62.6,174.2,128/77,76,31.872151,35.899154,20.61,13.4,Aspirin,abthaj21@example.org,5443e0c47962ff7da89198b5d64d6577e936fac2e2e059d2143b831985e75443,0785740224,Amman,B+,No,62,56,1,0.45,2025-11-18,0.78,6.6,['responded'],2026-01-13 03:46:18
JD000048,المهندس فائق طه,Male,47,70.5,179.9,133/81,60,32.028447,36.15381,21.78,13.5,None,uzhran@example.org,3c40eeac5fd2a350410c5fee009c8cbdda059806f67f26f90d9ba5b4b783d47b,0774130110,Zarqa,B+,No,46,56,2,0.9,2025-11-18,0.67,1.1,"['responded', 'no_response']",2026-01-13 03:46:18
JD000049,مؤمن ثقيف,Male,25,74.7,179.8,117/82,85,32.084869,36.182301,23.11,15.9,"Lisinopril, Aspirin",salbqwm@example.net,877ab01359402619424f6d1151dc0dbc0b9ce1f08a4097b2408b92d58e4a5b70,0796265234,Zarqa,A+,Yes,18,73,5,2.25,2025-11-01,0.86,3.9,"['responded', 'responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000050,شجاع بنو الدئل,Male,29,79.2,155.8,111/88,68,31.104743,36.22738,32.64,15.8,None,faq50@example.org,5a2e67c5c9bcdc86ddf1e966705de959a8a91a0446cb652a983cb7e4fa9c960f,0773245601,Other,O+,Yes,60,69,2,0.9,2025-11-05,0.79,9.1,"['no_response', 'responded']",2026-01-13 03:46:18
JD000051,الأستاذ رؤوف بنو الدئل,Male,20,92.6,163.3,139/74,75,31.192997,35.951695,34.74,15.1,None,fswmyrp@example.net,88919066ff7b12c4f7c25aeb7a02caf40c218f8765cf485694bb8880ab1a3921,0781337014,Other,A+,No,30,60,1,0.45,2025-11-14,0.54,8.5,['responded'],2026-01-13 03:46:18
JD000052,ديمه بنو هلال,Male,18,50.0,163.1,136/77,67,32.035358,35.959977,18.79,14.1,None,lmenal@example.net,dba055b731cc5ff9663e4757d60038d9651699c58ca48ae61b4bc68ed98d7941,0798266972,Amman,A+,No,65,105,1,0.45,2025-09-30,0.58,1.9,['no_response'],2026-01-13 03:46:18
JD000053,لقاء ابو عيد,Male,38,92.4,165.4,116/85,62,32.55921,35.774794,33.78,15.2,None,syd97@example.net,e7908b2f9397d759a3f620010475a631f857797f0df13aa7a127252d2989a7eb,0779828978,Irbid,O+,No,60,56,3,1.35,2025-11-18,0.58,2.9,"['no_response', 'responded', 'no_response']",2026-01-13 03:46:18
JD000054,الأستاذ ساهر بلقرن,Male,34,73.8,165.2,98/75,66,31.953177,36.047216,27.02,14.5,Metformin,atraleqydat@example.net,22fc523ab2665163ec37c004930301276d09981b5ff5cef7240ea17472d379d1,0776623463,Amman,O-,No,18,141,5,2.25,2025-08-25,0.99,12.8,"['responded', 'responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000055,وفاء البيطار,Male,33,78.4,185.9,133/78,64,31.866473,35.904822,22.68,14.8,None,naem14@example.com,f17e39ac5dbc4f7c909ede3a858671c8aeb091682fe618b5d132a0b1c0ade989,0787598876,Amman,O+,No,96,115,1,0.45,2025-09-20,0.85,1.0,['responded'],2026-01-13 03:46:18
JD000056,المهندسة بنان التوتنجي,Male,36,88.8,183.0,108/83,64,31.942062,36.064453,26.53,14.1,None,zaldwasr@example.com,a223af61bf11292a6af3db792caea2a1db106f992d14420e4a1e4bb048141952,0792808986,Amman,A+,Yes,108,56,2,0.9,2025-11-18,0.63,2.2,"['responded', 'responded']",2026-01-13 03:46:18
JD000057,افتكار نجيب,Male,46,85.1,171.7,105/85,62,31.837553,35.894834,28.85,14.2,None,qbnw-zyd@example.net,3343ea80617170510ea2d33f877711c22cf87a603d8dd9b27ae9c8a6851a453c,0792477737,Amman,O+,Yes,15,56,2,0.9,2025-11-18,0.81,2.8,"['responded', 'responded']",2026-01-13 03:46:18
JD000058,المهندسة زهرة ابو السعود,Male,38,94.5,179.9,115/85,65,31.970448,36.055594,29.2,13.7,Lisinopril,ezmy23@example.com,d71460f02bc01da6b0165a3113051e5c6c518e79eaff557a0d906ae45c646e6d,0787340422,Amman,B-,No,102,230,6,2.7,2025-05-28,0.89,1.4,"['responded', 'responded', 'no_response', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000059,مؤمن جرهم,Male,53,60.7,167.1,122/76,71,31.846714,35.927669,21.72,14.5,None,mrqbnw-zyd@example.net,ca3111d1fff30e5ec3b7c81e7e6dd1d7b6dddfb567e4484f8fb574157697c8b5,0777684786,Amman,A-,No,108,294,2,0.9,2025-03-25,0.88,0.2,"['responded', 'responded']",2026-01-13 03:46:18
JD000060,السيد حميد عسير,Female,32,72.8,155.7,116/72,70,32.145687,36.096522,30.0,13.2,None,hyman18@example.org,bd37b658b8750d559ecdba914677fd0cdfa3fa1ff0cd52d9517afb686bab5afa,0799521959,Zarqa,A+,No,117,134,1,0.45,2025-09-01,0.81,14.7,['responded'],2026-01-13 03:46:18
JD000061,قحطان الهدمي,Male,48,78.5,187.8,129/78,75,32.058831,35.982984,22.24,12.7,None,bnw-malkrawy@example.net,c81e5f64072692e3202f4314e1e9652c742b44a2dc35f3347f72bf33c61f247e,0791353818,Amman,A+,No,0,365,0,0.0,2025-01-13,0.93,8.1,[],2026-01-13 03:46:18
JD000062,عبد المحيي بتروني,Female,35,107.3,171.3,131/76,72,31.878129,36.001517,36.57,12.4,None,zaxr03@example.com,a0c58b5b11b61bc8ed4fd4347a9e102865ffba060772c3155d30e1dc708ea820,0771508863,Amman,B+,Yes,67,98,3,1.35,2025-10-07,0.56,2.1,"['no_response', 'no_response', 'responded']",2026-01-13 03:46:18
JD000063,ابتسام كنانة,Male,37,50.0,171.3,129/72,72,32.015994,35.887168,17.03,12.9,Metformin,xvemmnyf@example.org,24740e42c1c1af4c6b1fc91d805a7775e9abeb09b0300a7e7596a361c40cb8d0,0788256311,Amman,A-,No,82,218,2,0.9,2025-06-09,0.9,8.9,"['responded', 'responded']",2026-01-13 03:46:18
JD000064,الآنسة راما المفتي,Male,33,57.0,172.8,116/79,79,32.578929,35.845744,19.07,13.8,None,almgrbyhsnyn@example.com,e87bff33d66b017c2874b0cbb7e1f86996c2da04b219c1e57a19f5dbe29941ad,0792584225,Irbid,O+,Yes,82,168,4,1.8,2025-07-29,0.65,3.7,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000065,السيدة سجا قطينة,Male,46,51.4,171.4,113/78,61,30.833631,35.706285,17.5,13.7,None,rys61@example.com,04033edb8412428a915681fe3bbe760de83852af96e943247114d03a1ad103b6,0772773136,Other,B+,Yes,107,163,4,1.8,2025-08-03,0.76,6.7,"['responded', 'responded', 'no_response', 'no_response']",2026-01-13 03:46:18
JD000066,دريد رصاص,Male,28,98.1,182.0,110/75,67,31.846415,35.977746,29.61,13.3,None,nbyh20@example.org,c4d051223088544ebb49cd563c515cd11427ede622a1e33434433398f445c5d9,0785912730,Amman,A+,Yes,38,56,2,0.9,2025-11-18,0.95,3.6,"['responded', 'responded']",2026-01-13 03:46:18
JD000067,الدكتورة دانة بكر بن عبد مناة,Male,42,82.8,171.3,112/80,70,32.080653,36.155379,28.19,12.6,None,astmbwlywsaf@example.org,9211d52381349c4549824acf8267d1516b571d5e5d80b20f20de6c841b5a9ca9,0772998803,Zarqa,A-,Yes,36,204,4,1.8,2025-06-23,0.89,0.2,"['responded', 'no_response', 'responded', 'responded']",2026-01-13 03:46:18
JD000068,إلينا مطير,Male,39,63.4,172.9,146/86,65,30.907117,36.364639,21.19,14.4,None,edly22@example.com,b46258d61198fd5a4e0870eed47055c1177fcdeacfedd65ad84b04a3bdf1fa45,0789865883,Other,A+,No,11,56,1,0.45,2025-11-18,0.63,4.5,['responded'],2026-01-13 03:46:18
JD000069,زايد بنو ليث,Male,25,66.5,180.1,138/85,82,32.552301,35.852625,20.48,13.7,None,tsmmnsy@example.net,adf4c37a1373d8a9bb82d0a680cdf0c8772d6606c8d8e59dc7fca6333f1f089d,0783339845,Irbid,A+,Yes,4,56,3,1.35,2025-11-18,0.97,9.3,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000070,عارف المرازيق,Male,42,69.1,175.5,115/88,86,31.889226,35.916154,22.44,15.5,None,zayd49@example.net,8caa9f4a04b6e9454d14d85fd5ea627c388d8fbed1273e2717ee384f852aab9e,0776466842,Amman,A+,Yes,19,221,4,1.8,2025-06-06,0.89,5.5,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000071,نائل مشعشع,Male,42,57.6,170.2,133/90,72,31.954532,35.880191,19.88,13.6,None,jman47@example.org,9be94413c715485ba27b5549008af184f8e7762e410ef167c3314f745fd97dc4,0771305745,Amman,A-,No,44,56,3,1.35,2025-11-18,0.85,3.4,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000072,علاء الدّين بحمدوني,Male,21,80.0,182.3,122/76,73,30.758301,36.101632,24.09,14.3,Metformin,ralsman@example.com,b1ed8a2f1d88eda9c2b6098403e25ef2af7e50a2b0156ae8985ff6d2d8c6a174,0794370152,Other,A+,No,113,246,2,0.9,2025-05-12,0.6,5.8,"['responded', 'responded']",2026-01-13 03:46:18
JD000073,كسّاب فراهيد,Male,42,64.2,175.6,112/84,69,32.530277,35.80976,20.84,12.8,Atorvastatin,nbhmdwny@example.net,4f7b2d7998a5b4c9ecc38d85ccd20adb7a7baf95395fc1650be7757e9dc91ec8,0782815344,Irbid,AB+,Yes,6,115,4,1.8,2025-09-20,0.92,16.2,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000074,السيد هيكل بنو سعد بن ليث بن بكر,Male,40,56.7,168.7,133/74,60,32.58199,35.921087,19.9,12.5,None,hmydpnasyf@example.com,1940c5a5ed919b548ee2df5ee067b64ed547359e0f0bdc552b92ae08bc262075,0789968811,Irbid,O+,Yes,38,106,1,0.45,2025-09-29,0.93,5.9,['responded'],2026-01-13 03:46:18
JD000075,الأستاذة ميرال الشهابي,Male,43,77.0,174.9,114/77,63,32.011166,35.996243,25.18,12.5,None,aftkar52@example.com,4e3153e3a877f48df5fdabc63c4b0edd38b2831858ffa91bde6f7d576ae3af61,0777562544,Amman,A-,Yes,48,96,5,2.25,2025-10-09,0.93,1.9,"['responded', 'responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
